Time,Open,High,Low,Close,AdjClose
764985600,9419.700195,9428.700195,9178,9232.200195,9232.200195
765072000,9161.099609,9161.099609,8889,9029.900391,9029.900391
765590400,9098.599609,9375.599609,9098.599609,9234.299805,9234.299805
765676800,9231.099609,9310,9165,9285.900391,9285.900391
765763200,9298,9331,9242.299805,9298.200195,9298.200195
766022400,9284.900391,9485.5,9266.400391,9476.799805,9476.799805
766108800,9522.900391,9802.5,9522.900391,9738.099609,9738.099609
766195200,9769.900391,9905.799805,9702.900391,9753.799805,9753.799805
766281600,9733.200195,9754,9597,9600.599609,9600.599609
766368000,9600.299805,9672.5,9518.799805,9536.099609,9536.099609
766627200,9526,9568.299805,9415.5,9506.799805,9506.799805
766713600,9379.599609,9379.599609,9203.099609,9303.900391,9303.900391
766800000,9306.099609,9325.299805,9221,9221,9221
766886400,9152.900391,9152.900391,8860.5,8934.599609,8934.599609
766972800,9023,9236.5,9023,9156.900391,9156.900391
767232000,9152.799805,9198.5,9068.299805,9136.099609,9136.099609
767318400,9198.900391,9337.299805,9171.900391,9328.599609,9328.599609
767404800,9324.200195,9324.200195,9107.299805,9113.299805,9113.299805
767491200,9111.900391,9173.5,9013.799805,9163.099609,9163.099609
767577600,9133.200195,9133.200195,8943.299805,8966.099609,8966.099609
767836800,8937.799805,8941,8777.700195,8799.700195,8799.700195
767923200,8797.700195,8822.299805,8572.799805,8679.099609,8679.099609
768009600,8678.700195,8678.700195,8359.400391,8369.400391,8369.400391
768096000,8336.599609,8451.700195,8249.200195,8412.900391,8412.900391
768182400,8503.900391,8660.400391,8503.900391,8620.299805,8620.299805
768441600,8581.400391,8581.400391,8349,8421.700195,8421.700195
768528000,8353.900391,8540.099609,8289.400391,8540.099609,8540.099609
768614400,8672.099609,8943.5,8672.099609,8906.200195,8906.200195
768700800,8886.400391,8954.099609,8795.700195,8878.900391,8878.900391
768787200,8959.599609,9146.299805,8959.599609,9134.700195,9134.700195
769046400,9117.700195,9276.599609,9107.900391,9253.400391,9253.400391
769132800,9236.5,9285.200195,9040.700195,9044.700195,9044.700195
769219200,9201.5,9477.299805,9201.5,9476.599609,9476.599609
769305600,9467.200195,9484.099609,9307.5,9355,9355
769392000,9405,9674.799805,9405,9631.599609,9631.599609
769651200,9605.099609,9773.200195,9584.299805,9589.799805,9589.799805
769737600,9541.700195,9547.200195,9433,9490.099609,9490.099609
769824000,9497.5,9664.099609,9497.5,9521.400391,9521.400391
769910400,9473.700195,9656.200195,9442.099609,9481.700195,9481.700195
769996800,9517,9575.099609,9362.400391,9470.099609,9470.099609
770256000,9405.799805,9577.700195,9381.5,9523.599609,9523.599609
770342400,9495.900391,9568.799805,9478.900391,9553.599609,9553.599609
770428800,9542.299805,9598.099609,9498,9512.099609,9512.099609
770515200,9406.900391,9406.900391,9217,9222.299805,9222.299805
770601600,9186.799805,9266.5,9149.200195,9234.299805,9234.299805
770860800,9231.099609,9416.5,9231.099609,9383,9383
770947200,9385.5,9461.099609,9205.5,9247.900391,9247.900391
771033600,9250.900391,9334.700195,9193.900391,9291.200195,9291.200195
771120000,9304.099609,9327.299805,9190.599609,9190.599609,9190.599609
771206400,9183.5,9183.5,8927.299805,9111.200195,9111.200195
771638400,9099.700195,9184.400391,9091.299805,9149.5,9149.5
771724800,9175,9189.799805,9020,9022.900391,9022.900391
771811200,9009.799805,9114,8884.400391,9114,9114
772070400,9077.099609,9077.099609,8962.400391,8998.200195,8998.200195
772156800,8930.799805,8930.799805,8793,8857.799805,8857.799805
772243200,8822.299805,8911.799805,8746.799805,8876.799805,8876.799805
772329600,8899.900391,9050.799805,8899.900391,8966.799805,8966.799805
772416000,8960.700195,9052.900391,8881,8881,8881
772675200,8794,8794,8640.900391,8647.5,8647.5
772761600,8723.900391,8777.599609,8673.5,8673.5,8673.5
772848000,8636.099609,8656.900391,8461.599609,8640.299805,8640.299805
772934400,8640.700195,8843.700195,8640.700195,8758.400391,8758.400391
773020800,8731,8731,8508.900391,8634.400391,8634.400391
773280000,8636.599609,8685.700195,8604.299805,8628.299805,8628.299805
773366400,8631.900391,8661.900391,8616.799805,8623.200195,8623.200195
773452800,8625.5,8633.599609,8449.400391,8454.900391,8454.900391
773539200,8458,8500.5,8298,8490.900391,8490.900391
773625600,8489.299805,8489.5,8424.5,8433,8433
773884800,8427.900391,8463.799805,8387.599609,8394.900391,8394.900391
773971200,8407.400391,8608.099609,8398.400391,8591.5,8591.5
774057600,8606.5,8828.900391,8606.5,8828.900391,8828.900391
774144000,8864.799805,8944.299805,8790.799805,8808.299805,8808.299805
774230400,8863.799805,9140.799805,8863.799805,9117,9117
774489600,9149.099609,9228.5,9131.5,9193.799805,9193.799805
774576000,9191.799805,9197,9091.700195,9145,9145
774662400,9149.799805,9322.700195,9149.799805,9188.799805,9188.799805
774748800,9149,9149,9028.599609,9117.700195,9117.700195
774835200,9129.599609,9202.299805,9077.900391,9153,9153
775094400,9165.299805,9236.400391,9165.299805,9174.599609,9174.599609
775180800,9177.299805,9257.5,9117,9194.400391,9194.400391
775267200,9203,9413,9203,9402.200195,9402.200195
775353600,9427.400391,9541.700195,9398.900391,9402.700195,9402.700195
775440000,9449.299805,9525.200195,9438.400391,9482.799805,9482.799805
775699200,9510.5,9743.299805,9510.5,9683.700195,9683.700195
775785600,9699,9749.700195,9628.599609,9695,9695
775872000,9781.400391,9795.900391,9573.400391,9585.900391,9585.900391
775958400,9576.700195,9686.099609,9508.700195,9642.900391,9642.900391
776044800,9628.799805,9630.799805,9562.400391,9602.200195,9602.200195
776304000,9602.200195,9631.799805,9534.700195,9537.900391,9537.900391
776390400,9533.200195,9561.5,9406.099609,9446.400391,9446.400391
776476800,9496.799805,9619.599609,9475.200195,9618.099609,9618.099609
776563200,9585,9607,9509.099609,9524.5,9524.5
776649600,9486.299805,9486.299805,9423.900391,9464.599609,9464.599609
776908800,9482.400391,9544.5,9458,9486.099609,9486.099609
776995200,9444.299805,9444.299805,9340,9366.599609,9366.599609
777081600,9361.400391,9585.099609,9361.400391,9538,9538
777168000,9561.099609,9582.799805,9509.5,9518.900391,9518.900391
777254400,9508.400391,9508.400391,9353,9404.400391,9404.400391
777513600,9407,9461.700195,9372.900391,9457.299805,9457.299805
777600000,9449.900391,9449.900391,9234.099609,9234.099609,9234.099609
777686400,9215.200195,9248.200195,9130.099609,9238.700195,9238.700195
777772800,9300.5,9387.799805,9300.5,9336.099609,9336.099609
777859200,9392.299805,9435.799805,9330.299805,9399.099609,9399.099609
778204800,9450,9688.400391,9450,9686.599609,9686.599609
778291200,9708.700195,9929.400391,9708.700195,9929.400391,9929.400391
778377600,9922.900391,10018.7002,9830,9890.900391,9890.900391
778464000,9881.299805,9936.200195,9846.200195,9901.599609,9901.599609
778723200,9910.200195,10064.90039,9910.200195,9962,9962
778809600,9961.700195,10036,9885.599609,10036,10036
778896000,10032.40039,10223,10032.40039,10165.90039,10165.90039
778982400,10166.29981,10207.2002,10105.79981,10151,10151
779068800,10170.2002,10280.5,10142.40039,10145,10145
779328000,10013.29981,10013.29981,9856.099609,9890.400391,9890.400391
779414400,9891.299805,9950.900391,9825.299805,9937,9937
779500800,9963.799805,10021.59961,9845.099609,9846.400391,9846.400391
779587200,9812.799805,9862.900391,9782.700195,9862.599609,9862.599609
779673600,9903.799805,9968.5,9882.5,9968.5,9968.5
779932800,9920.299805,9920.299805,9786.700195,9801.400391,9801.400391
780019200,9811.5,9858,9797.099609,9824.799805,9824.799805
780192000,9733.400391,9733.400391,9581.900391,9668.099609,9668.099609
780278400,9657.799805,9687.700195,9620.700195,9632.5,9632.5
780537600,9638.400391,9700.900391,9632.5,9643.599609,9643.599609
780624000,9637.799805,9647.599609,9577.299805,9610.200195,9610.200195
780710400,9617.700195,9747.5,9617.700195,9693.5,9693.5
780796800,9720.599609,9817.5,9687.099609,9700.200195,9700.200195
780883200,9674.400391,9674.400391,9495.299805,9521.200195,9521.200195
781142400,9516.099609,9541.700195,9453.700195,9492.5,9492.5
781228800,9482.400391,9547.799805,9464.099609,9504.099609,9504.099609
781315200,9453.200195,9453.200195,9292.200195,9298.400391,9298.400391
781401600,9258.400391,9313.900391,9230.599609,9276.299805,9276.299805
781488000,9273.900391,9306.200195,9194.400391,9284.900391,9284.900391
781747200,9291.799805,9338.799805,9186.599609,9248.400391,9248.400391
781833600,9271.099609,9392.5,9271.099609,9362.299805,9362.299805
781920000,9459.099609,9549.200195,9459.099609,9532.400391,9532.400391
782092800,9617.900391,9660,9492.799805,9550.900391,9550.900391
782352000,9550.900391,9579.200195,9453.200195,9455.900391,9455.900391
782438400,9451.299805,9453.099609,9391.200195,9418.599609,9418.599609
782524800,9420.299805,9420.299805,9317.700195,9320.099609,9320.099609
782611200,9317.5,9396.299805,9315.700195,9388.799805,9388.799805
